product_id,name,brand,category,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity
2560,Godrej Real Good Chicken Marinated Lollipop ,Godrej,"Meats, Fish & Eggs",20000,10,2,18000,580,False,10
2564,Fresh Chicken Whole Leg - Skinless (Halal),Fresh,"Meats, Fish & Eggs",16500,4,1,15700,500,False,500
2566,TGFC Tilapia Curry Cut,TGFC,"Meats, Fish & Eggs",25900,43,1,14700,500,False,500
2568,Godrej Real Good Marinated Hot & Grill Chicken,Godrej,"Meats, Fish & Eggs",24500,9,2,22100,450,False,450
2572,TGFC Chicken Boneless Fresh Whole,TGFC,"Meats, Fish & Eggs",26100,14,1,22200,500,False,500
2579,TGFC Catla Bengali Cut,TGFC,"Meats, Fish & Eggs",29000,29,1,20400,500,False,500
2580,Godrej Real Good Chicken Leg Boneless,Godrej,"Meats, Fish & Eggs",27500,9,3,24800,450,False,450
2581,TGFC Rohu Bengali Cut,TGFC,"Meats, Fish & Eggs",24900,28,1,17900,500,False,500
2582,Godrej Real Good Chicken Lollypop,Godrej,"Meats, Fish & Eggs",17500,9,1,15800,580,False,10
2583,Godrej Real Good Chicken Liver Sealed ,Godrej,"Meats, Fish & Eggs",7500,9,1,6800,200,False,200
2585,Fresh Mutton Mince - Kheema (Halal),Fresh,"Meats, Fish & Eggs",51500,3,1,49500,500,False,500
2586,Fresh Mutton Curry Cut Cubes (Halal),Fresh,"Meats, Fish & Eggs",46500,4,1,44200,500,False,500
2588,Godrej Real Good Chicken Legs ,Godrej,"Meats, Fish & Eggs",21000,10,1,18900,116,False,2
2590,TGFC Basa Fillets,TGFC,"Meats, Fish & Eggs",32900,24,1,24700,500,False,500
2591,Zorabian Chicken Legs Skinless,Zorabian,"Meats, Fish & Eggs",21000,0,1,21000,450,False,450
2596,Fresh Chicken Curry Cut - Skinless (Halal),Fresh,"Meats, Fish & Eggs",14000,0,0,14000,500,True,500
2597,Zorabian Chicken Breast Boneless ,Zorabian,"Meats, Fish & Eggs",14500,0,0,14500,450,True,450
2599,Fresh Chicken Mince - Kheema (Halal),Fresh,"Meats, Fish & Eggs",21500,5,0,20400,500,True,500
2600,Godrej Real Good Chicken Boneless Cubes ,Godrej,"Meats, Fish & Eggs",27500,9,0,24800,450,True,450
2603,Zorabian Chicken Mince,Zorabian,"Meats, Fish & Eggs",25000,0,0,25000,450,True,450
2604,Zorabian Chicken Leg Boneless ,Zorabian,"Meats, Fish & Eggs",25000,0,0,25000,450,True,450
2606,Zorabian Chicken Cubes,Zorabian,"Meats, Fish & Eggs",27000,0,0,27000,500,True,500
2607,Britannia Good Day Cashew Cookies,Britannia,Biscuits,1000,0,6,1000,60,False,58
2608,Britannia 50-50 Maska Chaska Biscuits,Britannia,Biscuits,3200,3,6,3100,120,False,120
2609,Dukes Waffy Chocolate Wafers,Dukes,Biscuits,4500,51,4,2200,60,False,75
2610,Britannia Nutri Choice Digestive Biscuit,Britannia,Biscuits,4500,0,1,4500,200,False,150
